year,mode,staff_flag,proximity,epistemic_source,n_turns
2012,clip,guest,institutional,name_title,5
2012,clip,guest,unresolved,sector_default,890
2012,clip,staff,commentary,sector_default,1659
2012,clip,staff,commentary,lexicon,34
2012,clip,staff,commentary,standing_rule,1
2012,clip,staff,direct,sector_default,33
2012,clip,staff,direct,lexicon,47
2012,clip,staff,expert,sector_default,5
2012,clip,staff,expert,lexicon,13
2012,clip,staff,expert,name_title,2
2012,clip,staff,institutional,sector_default,4
2012,clip,staff,unresolved,sector_default,1077
2012,live,guest,commentary,sector_default,280
2012,live,guest,commentary,lexicon,598
2012,live,guest,commentary,form,111
2012,live,guest,commentary,standing_rule,187
2012,live,guest,direct,lexicon,1089
2012,live,guest,direct,name_title,16
2012,live,guest,direct,sector_default,155
2012,live,guest,expert,lexicon,451
2012,live,guest,expert,name_title,3
2012,live,guest,expert,sector_default,58
2012,live,guest,expert,topic_needed,55
2012,live,guest,institutional,sector_default,55
2012,live,guest,institutional,lexicon,60
2012,live,guest,institutional,name_title,3
2012,live,guest,unresolved,sector_default,1091
2012,live,staff,commentary,sector_default,2066
2012,live,staff,commentary,lexicon,776
2012,live,staff,commentary,form,16
2012,live,staff,direct,sector_default,64
2012,live,staff,direct,lexicon,17
2012,live,staff,expert,lexicon,288
2012,live,staff,expert,name_title,5
2012,live,staff,expert,sector_default,2
2012,live,staff,institutional,sector_default,19
2012,live,staff,unresolved,sector_default,10135
2013,clip,guest,commentary,lexicon,287
2013,clip,guest,commentary,standing_rule,67
2013,clip,guest,commentary,form,45
2013,clip,guest,commentary,sector_default,84
2013,clip,guest,direct,lexicon,1680
2013,clip,guest,direct,name_title,37
2013,clip,guest,direct,sector_default,97
2013,clip,guest,expert,sector_default,64
2013,clip,guest,expert,name_title,19
2013,clip,guest,expert,lexicon,169
2013,clip,guest,expert,topic_needed,37
2013,clip,guest,institutional,sector_default,136
2013,clip,guest,institutional,lexicon,89
2013,clip,guest,institutional,name_title,7
2013,clip,guest,unresolved,sector_default,1106
2013,clip,staff,commentary,sector_default,1792
2013,clip,staff,commentary,form,1
2013,clip,staff,commentary,lexicon,23
2013,clip,staff,direct,lexicon,17
2013,clip,staff,direct,sector_default,12
2013,clip,staff,expert,name_title,4
2013,clip,staff,expert,lexicon,19
2013,clip,staff,unresolved,sector_default,1115
2013,live,guest,commentary,lexicon,1118
2013,live,guest,commentary,form,96
2013,live,guest,commentary,standing_rule,142
2013,live,guest,commentary,sector_default,238
2013,live,guest,direct,name_title,28
2013,live,guest,direct,sector_default,172
2013,live,guest,direct,lexicon,1355
2013,live,guest,expert,lexicon,473
2013,live,guest,expert,sector_default,47
2013,live,guest,expert,topic_needed,97
2013,live,guest,expert,name_title,5
2013,live,guest,institutional,sector_default,90
2013,live,guest,institutional,lexicon,77
2013,live,guest,institutional,name_title,4
2013,live,guest,unresolved,sector_default,1232
2013,live,staff,commentary,lexicon,504
2013,live,staff,commentary,sector_default,2402
2013,live,staff,commentary,form,1
2013,live,staff,direct,lexicon,13
2013,live,staff,direct,sector_default,49
2013,live,staff,expert,lexicon,195
2013,live,staff,expert,name_title,3
2013,live,staff,expert,topic_needed,3
2013,live,staff,institutional,sector_default,4
2013,live,staff,unresolved,sector_default,10668
2014,clip,guest,commentary,standing_rule,95
2014,clip,guest,commentary,lexicon,107
2014,clip,guest,commentary,form,56
2014,clip,guest,commentary,sector_default,69
2014,clip,guest,direct,name_title,13
2014,clip,guest,direct,lexicon,1111
2014,clip,guest,direct,sector_default,90
2014,clip,guest,expert,lexicon,68
2014,clip,guest,expert,sector_default,58
2014,clip,guest,expert,topic_needed,11
2014,clip,guest,expert,name_title,18
2014,clip,guest,institutional,sector_default,54
2014,clip,guest,institutional,lexicon,45
2014,clip,guest,institutional,name_title,2
2014,clip,guest,unresolved,sector_default,456
2014,clip,staff,commentary,sector_default,1178
2014,clip,staff,commentary,lexicon,14
2014,clip,staff,commentary,standing_rule,11
2014,clip,staff,direct,sector_default,6
2014,clip,staff,direct,lexicon,15
2014,clip,staff,expert,lexicon,10
2014,clip,staff,expert,name_title,7
2014,clip,staff,unresolved,sector_default,774
2014,live,guest,commentary,lexicon,938
2014,live,guest,commentary,standing_rule,184
2014,live,guest,commentary,sector_default,196
2014,live,guest,commentary,form,137
2014,live,guest,direct,sector_default,435
2014,live,guest,direct,lexicon,979
2014,live,guest,direct,name_title,17
2014,live,guest,expert,lexicon,585
2014,live,guest,expert,topic_needed,63
2014,live,guest,expert,sector_default,87
